id,EAP,HPL,MWS
id26305,0.9766027,0.0077130436,0.015684327
id17569,0.5964937,0.19657844,0.20692788
id11008,0.4399773,0.5061111,0.053911656
id27763,0.002115489,0.0040882607,0.9937963
id12958,0.56517553,0.2368795,0.19794503
id22965,0.12336711,0.049150914,0.827482
id09674,0.8430803,0.118262306,0.038657453
id13515,0.8107518,0.07133596,0.11791225
id19322,0.7606801,0.104162194,0.1351578
id00912,0.22684972,0.20740306,0.56574726
id16737,0.03452327,0.021490037,0.9439868
id16607,0.58057934,0.05384004,0.36558068
id19764,0.012369727,0.79563683,0.19199347
id18886,0.02851777,0.96506596,0.006416292
id17189,0.8729371,0.0033159256,0.12374703
id12799,0.02748458,0.27638224,0.69613314
id08441,0.9798335,0.0047659343,0.015400566
id13117,0.028785199,0.0020056826,0.96920913
id14862,0.9669093,0.011844738,0.021245936
id20836,0.1556506,0.59900224,0.24534719
id11411,0.21832725,0.7196045,0.0620683
id08075,0.061487027,0.8341658,0.10434722
id18925,0.16455731,0.2578044,0.5776384
id19925,0.97404027,0.0064611565,0.019498575
id01704,0.4515182,0.2908988,0.25758305
id10125,0.07989218,0.38178918,0.5383187
id02448,0.9514069,0.025877701,0.022715474
id23451,0.91076934,0.059898727,0.02933204
id27907,0.04166887,0.60935104,0.34898013
id08121,0.042578228,0.87857985,0.078841984
id15222,0.9906073,0.0016352555,0.0077574267
id00764,0.14633954,0.47039458,0.38326594
id00683,0.2397388,0.15991433,0.60034686
id11733,0.2799849,0.18689701,0.5331181
id03205,0.036730282,0.92199147,0.041278325
id01948,0.02042304,0.88721645,0.09236054
id22412,0.019693006,0.9786501,0.0016569532
id05258,0.046566725,0.21793504,0.7354983
id00144,0.09108396,0.89380324,0.015112806
id19576,0.98159015,0.014309311,0.0041005947
id01577,0.15290007,0.7480018,0.099098116
id01651,0.27886045,0.7088859,0.012253661
id27080,0.01847382,0.95920026,0.022325965
id20751,0.20332336,0.0859773,0.7106994
id21136,0.89135003,0.0732776,0.035372358
id10279,0.9155365,0.052650042,0.03181352
id12683,0.041185826,0.072023876,0.8867904
id19180,0.51719457,0.3638139,0.11899163
id02236,0.41671085,0.561091,0.022198156
id11523,0.8984937,0.07006448,0.03144188
id22530,0.98453647,0.006941269,0.008522277
id22197,0.7769638,0.15019104,0.07284518
id24941,0.35620722,0.209654,0.43413883
id15218,0.54916465,0.035943657,0.41489172
id02164,0.20977795,0.51015866,0.2800635
id17654,0.24681818,0.5753856,0.17779627
id20824,0.05436942,0.9429563,0.0026743119
id21164,0.2926843,0.03844906,0.66886675
id08820,0.12535927,0.14399506,0.7306457
id17407,0.33221483,0.11862141,0.5491638
id05166,0.048201367,0.06931567,0.882483
id07779,0.060546316,0.8697678,0.06968596
id14749,0.5405145,0.12687059,0.33261493
id10634,0.00659626,0.9927591,0.00064469577
id03555,0.013439047,0.0014587615,0.9851023
id26727,0.6519742,0.18494943,0.1630765
id06312,0.009814684,0.00064276234,0.9895426
id24464,0.19689822,0.79980767,0.0032941247
id18006,0.57093537,0.35685498,0.07220976
id04459,0.9026995,0.0008446205,0.09645589
id06749,0.5731554,0.35483563,0.07200896
id11062,0.90167356,0.07661793,0.02170853
id01571,0.8932478,0.035651207,0.07110104
id03152,0.6675775,0.11150103,0.22092149
id06412,0.012897799,0.03917315,0.9479291
id10155,0.6461861,0.19335642,0.16045745
id24823,0.37659878,0.39524585,0.22815537
id06377,0.30149055,0.60209006,0.09641941
id01222,0.19658038,0.39122546,0.4121942
id10142,0.6769263,0.16554452,0.1575292
id08521,0.6215399,0.00772876,0.37073138
id13267,0.547928,0.35172573,0.1003463
id06001,0.0073643234,0.9214464,0.07118936
id22877,0.68442464,0.19117339,0.12440202
id02647,0.9017061,0.05908277,0.03921108
id10154,0.014141997,0.9229531,0.06290496
id22605,0.08411835,0.003749749,0.9121319
id18034,0.033311255,0.08100093,0.8856878
id27266,0.56913733,0.29866913,0.13219354
id10676,0.23387459,0.46497953,0.30114588
id03833,0.005507686,0.0023065447,0.99218583
id16135,0.9853672,0.01057703,0.004055852
id19878,0.63514304,0.31388628,0.050970707
id25019,0.92686063,0.0667472,0.0063922014
id18067,0.0148844775,0.0043878923,0.9807277
id23088,0.001896811,0.0010893382,0.9970139
id06172,0.004601795,0.039547686,0.95585054
id08466,0.7527726,0.24351326,0.0037141177
id02547,0.49052802,0.2272978,0.28217423
id04451,0.012118308,0.96851087,0.019370839
id04853,0.08737383,0.14149663,0.77112955
id21482,0.85821295,0.09652669,0.045260385
id03072,0.2132501,0.77573955,0.011010431
id08617,0.19133537,0.016983617,0.79168105
id04159,0.010060433,0.97238886,0.017550763
id18740,0.16276799,0.42152232,0.41570973
id11321,0.080705404,0.5814883,0.33780634
id06564,0.27128053,0.6384703,0.09024921
id01004,0.0042976085,0.0029898433,0.9927126
id09114,0.030517628,0.13487296,0.83460945
id27670,0.55957764,0.023928462,0.4164939
id15648,0.16632132,0.16060379,0.67307496
id27679,0.59697217,0.2912713,0.11175655
id14878,0.015124658,0.9467134,0.038161967
id15083,0.5674614,0.056520205,0.3760185
id24979,0.11506355,0.0046750666,0.8802614
id20087,0.009013973,0.9617522,0.029233865
id06500,0.9137151,0.015476507,0.07080837
id21174,0.31115234,0.110737756,0.57811
id23958,0.2194064,0.5907806,0.18981299
id13881,0.37839103,0.3234143,0.2981947
id01306,0.91795546,0.02910767,0.0529369
id15580,0.111593656,0.58905596,0.29935044
id07787,0.07609375,0.038916316,0.88499
id13315,0.044448372,0.946186,0.009365683
id02772,0.015792083,0.22580738,0.75840056
id19806,0.5147532,0.32322228,0.16202456
id05293,0.22938608,0.74257684,0.028037086
id17840,0.34835836,0.27096438,0.38067722
id10113,0.026619023,0.23334071,0.7400403
id17270,0.0030197531,0.9946823,0.0022978722
id24267,0.0544938,0.81808186,0.12742439
id21317,0.2406502,0.13430169,0.62504816
id24125,0.59529984,0.094563164,0.310137
id02655,0.085626066,0.0088430885,0.9055309
id18911,0.016863562,0.8692684,0.113868
id26487,0.5326242,0.43749118,0.029884683
id05457,0.9864079,0.0035565689,0.0100355325
id07762,0.14241673,0.021285629,0.83629763
id22890,0.8001319,0.18321243,0.016655749
id12353,0.03212603,0.772269,0.19560494
id05582,0.06974648,0.6802495,0.25000405
id21404,0.45382124,0.14328629,0.40289253
id14312,0.24335654,0.17874327,0.5779002
id18834,0.02134821,0.06983208,0.9088198
id06817,0.9221599,0.04362872,0.034211446
id23484,0.0013294967,0.9960871,0.0025834981
id05876,0.10824584,0.04843362,0.8433206
id22987,0.059763707,0.49021447,0.45002186
id05449,0.329229,0.44883767,0.22193336
id24399,0.93032277,0.056076545,0.01360073
id11413,0.5056282,0.035613507,0.45875823
id03950,0.051184565,0.05906452,0.88975096
id08447,0.7942033,0.01828483,0.18751198
id21568,0.7332499,0.26229167,0.0044584544
id25461,0.8259444,0.008695497,0.16536015
id01207,0.014241504,0.008829732,0.9769287
id08041,0.3323751,0.63334,0.034284905
id03570,0.31617486,0.0956723,0.5881529
id09713,0.020458443,0.924405,0.05513665
id12320,0.01340881,0.025701705,0.9608895
id18040,0.97075903,0.006250577,0.022990447
id27756,0.0029799151,0.0027478002,0.99427235
id15641,0.39246675,0.5790693,0.028463986
id11826,0.060614295,0.009614713,0.92977107
id06472,0.58902484,0.3747919,0.036183283
id04172,0.21752828,0.23290512,0.5495667
id23387,0.3482555,0.1289089,0.5228356
id16818,0.0010084789,0.9975281,0.0014634855
id09068,0.69301695,0.026888212,0.28009492
id15774,0.038448144,0.031585757,0.9299661
id17128,0.2466811,0.73117477,0.022144195
id08079,0.12963882,0.014704257,0.8556569
id10542,0.13163263,0.010120077,0.85824734
id21056,0.7235545,0.07432416,0.20212136
id12080,0.12746823,0.27873975,0.593792
id10888,0.07757457,0.17449576,0.7479297
id23731,0.7328358,0.028683431,0.23848079
id23209,0.013172357,0.07854876,0.90827894
id25905,0.0059617856,0.9930757,0.0009624559
id05110,0.15657422,0.6194235,0.22400227
id12871,0.40923256,0.46606237,0.124705136
id04666,0.039006814,0.009817062,0.95117617
id27629,0.53252476,0.30477205,0.16270319
id05317,0.91855323,0.06361698,0.0178298
id20597,0.9891186,0.00811167,0.0027698206
id09853,0.27447718,0.023014443,0.7025084
id09334,0.048531298,0.014390944,0.93707776
